date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,tse_open,tse_high,tse_low,tse_close,tse_volume,txf_open,txf_high,txf_low,txf_close,txf_volume,above_ma
2019/7/1,7230941167,2089516844,-325,46800,2828,-1988,10821.29981,10914.84961,10821.29981,10895.45996,145213,10707,10780,10693,10766,97311,33
2019/7/2,-4964904801,379616780,-2137,44663,-1347,-3335,10878.00977,10888.20996,10843.63965,10865.12012,118911,10738,10766,10729,10749,60623,32
2019/7/3,-8029090918,-1072694800,-2221,42442,-2294,-5632,10793.09961,10812.65039,10720.66016,10743.76953,112004,10733,10741,10202,10641,110709,28
2019/7/4,143866536,-412163806,405,42847,4078,-1554,10755.87012,10791.28027,10750.90039,10775.90039,97217,10691,10729,10677,10707,77761,30
2019/7/5,209805332,-318385452,-765,42083,248,-1306,10785.84961,10812.37988,10756.66992,10785.73047,85169,10713,10749,10682,10718,77789,32
2019/7/8,-6980056197,-658267432,-1045,41035,-2251,-3545,10742.80957,10781.11035,10708.91992,10751.21973,95508,10655,10711,10630,10665,105478,25
2019/7/9,-3239829387,-441084137,-1818,39225,-1771,-5348,10729.83008,10733.57031,10680.84961,10702.78027,93646,10688,10699,10631,10650,79145,14
2019/7/10,1150495305,153912288,3527,42752,7364,2036,10723.23047,10810.16016,10723.23047,10798.48047,103286,10699,10741,10689,10732,99507,27
2019/7/11,4864612203,654797490,1487,44241,-106,1922,10817.59961,10856.50977,10799.65039,10843.41992,130380,10801,10833,10772,10813,83589,27
2019/7/12,-573690027,536460241,-1849,42407,-3722,-1860,10855.16016,10867.58984,10823.88965,10824.34961,120945,10789,10830,10788,10811,67152,21
2019/7/15,765537261,830997378,-1189,41203,60,-1740,10819.91992,10880.55957,10769.57031,10876.42969,117647,10808,10860,10730,10849,115603,24
2019/7/16,-464666196,-91752761,-5316,35861,-811,-2447,10865,10899.83984,10865,10886.04981,117416,10863,10892,10851,10878,72001,26
2019/7/17,-2960907078,-210883660,254,32681,-4907,-1209,10861.11035,10861.11035,10804.33984,10828.48047,113164,10837,10855,10805,10831,70371,24
2019/7/18,-4231738462,-73643814,6046,38694,3104,2027,10821.91992,10835.42969,10792.26953,10799.28027,104950,10625,10676,10623,10651,78963,17
2019/7/19,8159136581,790671521,2404,41117,1455,3406,10861.99023,10919.95996,10861.99023,10873.19043,122917,10757,10792,10727,10740,96592,20
2019/7/22,4732073131,799153962,4288,45404,2730,6140,10910.5,10949.75977,10909.15039,10944.53027,117662,10735,10798,10729,10795,78274,26
2019/7/23,-50658653,287288666,-969,44434,-3284,2860,10963.86035,10994.44043,10932.53027,10947.25977,126648,10822,10836,10785,10803,76789,27
2019/7/24,1199819459,242298430,-280,44154,-1685,1211,10969.74023,10976.45996,10912.91992,10935.75977,132254,10817,10835,10792,10804,66376,21
2019/7/25,2215790521,-209163128,-1030,43124,802,2013,10892.25,10945.91992,10879.40039,10941.41016,133173,10825,10831,10769,10822,73931,22
2019/7/26,-5125185527,353205690,-2562,40552,-5819,-3766,10898.25,10907.44043,10879.24023,10891.98047,111168,10781,10795,10765,10788,53211,19
2019/7/29,-4394416441,403537140,-37,40511,-106,-3856,10872.62988,10905.74023,10863.33008,10885.73047,104444,10779,10802,10744,10782,83163,20
2019/7/30,2609423210,-590438855,-4032,36479,-2628,-6484,10909.98047,10927.16016,10827.74023,10830.90039,130424,10819,10836,10752,10752,91664,17
2019/7/31,-4997911457,352030140,928,37407,-362,-6686,10824.15039,10835.79981,10754.07031,10823.80957,128561,10721,10743,10674,10736,103902,13
2019/8/1,-15891545862,602009280,-4848,32563,-4119,-10805,10773.05957,10773.25,10714.73047,10731.75,129925,10635,10697,10623,10644,109347,7
2019/8/2,-19594004438,-1222542953,-3384,29179,-5989,-16794,10641.28027,10641.28027,10524.67969,10549.04004,158467,10518,10535,10441,10469,142673,3
2019/8/5,-15512287719,-525736380,1173,29154,1351,-10651,10528.87012,10542.49023,10418.25,10423.41016,128506,10421,10460,10358,10376,135526,1
2019/8/6,-5800026921,-748134420,-190,28984,1590,-9141,10304.87988,10425.59961,10180.04004,10394.75,145268,10096,10387,10095,10329,199016,1
2019/8/7,-14327464129,494623238,4048,33056,1607,-7666,10422.88965,10461.37012,10366.54004,10386.17969,120703,10330,10375,10301,10346,113815,4
2019/8/8,1793472413,976051069,1308,34363,2816,-4846,10383.62012,10500.76953,10383.62012,10494.49023,123344,10372,10454,10340,10436,121943,6
